decision_id,claim_id,severity,fraud_risk,route_to,rationale,created_at
1,1,MEDIUM,0.07,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-05-21
2,2,LOW,0.18,OPERATIONS,"Routine claim, low risk indicators",2025-02-22
3,3,MEDIUM,0.85,SIU,"Moderate risk, but consistent with prior claim data",2025-02-14
4,4,MEDIUM,0.08,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-02-17
5,5,LOW,0.5,OPERATIONS,"Routine claim, low risk indicators",2025-01-14
6,6,MEDIUM,0.69,SIU,"Moderate risk, but consistent with prior claim data",2025-08-03
7,7,LOW,0.58,OPERATIONS,"Routine claim, low risk indicators",2025-01-04
8,8,HIGH,0.19,SIU,"High-cost or suspicious claim, requires deeper review",2025-08-05
9,9,LOW,0.19,OPERATIONS,"Routine claim, low risk indicators",2025-06-22
10,10,LOW,0.39,OPERATIONS,"Routine claim, low risk indicators",2025-07-03
11,11,HIGH,0.59,SIU,"High-cost or suspicious claim, requires deeper review",2025-01-23
12,12,MEDIUM,0.53,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-07-13
13,13,LOW,0.31,OPERATIONS,"Routine claim, low risk indicators",2025-07-05
14,14,MEDIUM,0.68,SIU,"Moderate risk, but consistent with prior claim data",2025-01-24
15,15,MEDIUM,0.75,SIU,"Moderate risk, but consistent with prior claim data",2025-02-10
16,16,HIGH,0.83,SIU,"High-cost or suspicious claim, requires deeper review",2025-07-14
17,17,LOW,0.62,OPERATIONS,"Routine claim, low risk indicators",2025-07-06
18,18,LOW,0.37,OPERATIONS,"Routine claim, low risk indicators",2025-05-17
19,19,MEDIUM,0.67,SIU,"Moderate risk, but consistent with prior claim data",2025-02-06
20,20,MEDIUM,0.2,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-05-06
21,21,LOW,0.39,OPERATIONS,"Routine claim, low risk indicators",2025-04-23
22,22,MEDIUM,0.81,SIU,"Moderate risk, but consistent with prior claim data",2025-01-29
23,23,LOW,0.08,OPERATIONS,"Routine claim, low risk indicators",2025-06-11
24,24,MEDIUM,0.11,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-06-11
25,25,LOW,0.5,OPERATIONS,"Routine claim, low risk indicators",2025-08-23
26,26,LOW,0.18,OPERATIONS,"Routine claim, low risk indicators",2025-05-15
27,27,MEDIUM,0.44,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-07-24
28,28,LOW,0.95,SIU,"Routine claim, low risk indicators",2025-03-12
29,29,MEDIUM,0.13,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-01-25
30,30,HIGH,0.19,SIU,"High-cost or suspicious claim, requires deeper review",2025-03-23
31,31,HIGH,0.43,SIU,"High-cost or suspicious claim, requires deeper review",2025-02-02
32,32,LOW,0.59,OPERATIONS,"Routine claim, low risk indicators",2025-08-28
33,33,MEDIUM,0.92,SIU,"Moderate risk, but consistent with prior claim data",2025-01-06
34,34,MEDIUM,0.15,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-05-17
35,35,HIGH,0.36,SIU,"High-cost or suspicious claim, requires deeper review",2025-05-31
36,36,MEDIUM,0.46,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-05-15
37,37,HIGH,0.74,SIU,"High-cost or suspicious claim, requires deeper review",2025-09-17
38,38,HIGH,0.83,SIU,"High-cost or suspicious claim, requires deeper review",2025-06-02
39,39,HIGH,0.51,SIU,"High-cost or suspicious claim, requires deeper review",2025-04-12
40,40,LOW,0.74,SIU,"Routine claim, low risk indicators",2025-01-01
41,41,MEDIUM,0.49,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-02-27
42,42,HIGH,0.84,SIU,"High-cost or suspicious claim, requires deeper review",2025-06-07
43,43,LOW,0.27,OPERATIONS,"Routine claim, low risk indicators",2025-02-10
44,44,LOW,0.49,OPERATIONS,"Routine claim, low risk indicators",2025-02-05
45,45,HIGH,0.53,SIU,"High-cost or suspicious claim, requires deeper review",2025-03-06
46,46,LOW,0.48,OPERATIONS,"Routine claim, low risk indicators",2025-03-26
47,47,LOW,0.84,SIU,"Routine claim, low risk indicators",2025-08-05
48,48,HIGH,0.89,SIU,"High-cost or suspicious claim, requires deeper review",2025-04-13
49,49,MEDIUM,0.41,OPERATIONS,"Moderate risk, but consistent with prior claim data",2025-07-11
